org_id,pwsid,supplier_name,year,avg_shortage_level,data_type
13,CA3610001,city of adelanto,2022,2.0,Actual
23,CA0110001,alameda county water district,2022,2.0,Actual
25,CA2710001,alco water service,2022,2.0,Actual
30,CA1910001,city of alhambra,2022,1.4,Actual
55,"CA0310002,CA0310003,CA0310012,CA0310019,CA0310021",amador water agency,2022,2.0,Actual
57,CA2810005,city of american canyon,2022,2.0,Actual
64,CA3010001,city of anaheim,2022,1.8,Actual
66,CA4510001,city of anderson,2022,1.4,Actual
82,CA0710001,city of antioch,2022,2.0,Actual
87,CA3610003,apple valley ranchos water company,2022,1.6,Actual
93,CA1910003,city of arcadia,2022,0.9,Actual
94,"CA1210001,CA1210021",city of arcata,2022,0.0,Actual
99,CA4010001,city of arroyo grande,2022,1.8888888888888888,Actual
102,CA1510001,arvin community service district,2022,2.1,Actual
107,CA4010002,atascadero mutual water company,2022,0.0,Actual
110,CA2410001,city of atwater,2022,2.0,Actual
117,CA1910007,azusa light and water,2022,2.0,Actual
123,CA1510031,city of bakersfield,2022,2.0,Actual
124,CA1010001,bakman water company,2022,1.7,Actual
129,CA3310006,city of banning,2022,1.7,Actual
159,CA3310002,beaumont - cherry valley water district,2022,1.6,Actual
167,CA4510014,bella vista water district,2022,4.777777777777778,Actual
170,CA1910013,bellflower - somerset mutual water company,2022,1.8,Actual
178,CA4810001,city of benicia,2022,1.7,Actual
193,CA1910156,city of beverly hills,2022,2.5,Actual
197,CA3610008,big bear community services district,2022,2.0,Actual
198,"CA3600283,CA3610022,CA3610044",city of big bear lake,2022,1.3333333333333333,Actual
241,CA3310003,city of blythe,2022,0.0,Actual
262,CA1310001,city of brawley,2022,2.0,Actual
263,CA3010002,city of brea,2022,1.4,Actual
264,CA0710004,city of brentwood,2022,1.0,Actual
283,CA3010003,city of buena park,2022,1.9,Actual
285,CA1910179,city of burbank,2022,2.7,Actual
286,CA4110003,city of burlingame,2022,1.7,Actual
351,"CA0510004,CA0510005,CA0510006,CA0510016,CA0510017,CA0510019",calaveras county water district,2022,1.5,Actual
353,CA1310002,city of calexico,2022,0.0,Actual
368,"CA1910052,CA1910139,CA1910186",california american water company - los angeles division,2022,2.0,Actual
369,"CA2701202,CA2701257,CA2702004,CA2710004,CA2710006,CA2710021,CA2710022",california american water company - monterey district,2022,1.5,Actual
372,"CA3110150,CA3410010,CA3410012,CA3410013,CA3410017,CA3410031,CA3410045,CA3410047,CA5700712,CA3410023",california american water company - sacramento district,2022,1.6,Actual
373,CA3710001,california american water company - san diego district,2022,2.0,Actual
376,"CA5610040,CA5610081",california american water company - ventura district,2022,2.0,Actual
378,CA1510032,california city,2022,1.4,Actual
386,"CA1510003,CA1510055",california water service company bakersfield,2022,2.0,Actual
387,CA4110006,california water service company bear gulch,2022,1.9,Actual
388,"CA0410002,CA1110002",california water service company chico district,2022,1.8,Actual
390,CA4810002,california water service company dixon,2022,1.7,Actual
391,CA1910033,california water service company dominguez,2022,1.9,Actual
392,CA1910036,california water service company east los angeles,2022,1.9,Actual
396,CA1910134,california water service company hermosa/redondo,2022,1.9,Actual
397,"CA1500407,CA1510026,CA1510033,CA1510039,CA1510043,CA1510049,CA1510056",california water service company kern river valley,2022,2.0,Actual
401,CA0110003,california water service company livermore,2022,2.0,Actual
402,CA4310001,california water service company los altos/suburban,2022,2.0,Actual
405,CA5810001,california water service company marysville,2022,1.8,Actual
412,CA0410005,california water service company oroville,2022,1.8,Actual
413,CA1910104,california water service company palos verdes,2022,1.9,Actual
417,"CA2701929,CA2710010,CA2710012,CA2710013,CA2710019",california water service company salinas district,2022,1.7,Actual
420,"CA4110007,CA4110008",california water service company mid peninsula,2022,1.9,Actual
421,CA1010024,california water service company selma,2022,1.7,Actual
422,CA4110009,california water service company south san francisco,2022,1.9,Actual
424,CA3910001,california water service company stockton,2022,1.8,Actual
427,"CA5400935,CA5410016,CA5410041",california water service company visalia,2022,2.0,Actual
428,CA5610016,california water service company westlake,2022,1.9,Actual
443,CA5610019,city of camarillo,2022,2.8,Actual
445,CA4010014,cambria community service district,2022,2.2,Actual
467,CA5610063,camrosa water district,2022,2.7,Actual
478,CA3710005,carlsbad municipal water district,2022,1.7,Actual
481,CA3410004,carmichael water district,2022,2.0,Actual
485,CA4210001,carpinteria valley water district,2022,2.2,Actual
495,"CA5610014,CA5610024",casitas municipal water district,2022,4.0,Actual
522,CA5010028,city of ceres,2022,2.0,Actual
524,CA1910019,city of cerritos,2022,0.8888888888888888,Actual
545,CA3610012,city of chino,2022,1.4,Actual
547,CA3610036,city of chino hills,2022,1.7,Actual
561,CA3410006,citrus heights water district,2022,1.7,Actual
572,CA4910002,city of cloverdale,2022,3.2,Actual
574,CA1010003,city of clovis,2022,2.0,Actual
575,CA3310007,city of coachella,2022,1.1,Actual
577,"CA3310001,CA3310048",coachella valley water district,2022,0.1,Actual
578,CA1010004,city of coalinga,2022,4.4,Actual
583,CA4110011,coastside county water district,2022,2.0,Actual
596,CA3610014,city of colton,2022,3.0,Actual
607,CA1910026,city of compton,2022,0.3,Actual
